Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Gross Sales,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,AOV,Total Commission,Total Promotion Fees | (for historical reference only),Total Promotion Sales | (for historical reference only),Total Ad Fees | (for historical reference only),Total Ad Sales | (for historical reference only),Currency
2026-02-01,2026-02-28,101 Hummus,32921997,909363,NULL,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,NULL
2026-02-01,2026-02-28,101 Hummus (1174 Chapel St),35361759,14630146,35361759,399.75,13,13,30.75,68.33,69.28,367.77,44.30,146.92,USD
2026-02-01,2026-02-28,101 Hummus (3846 Mowry Ave),32921995,909363,32921995,495.08,22,22,22.50,74.73,125.18,495.08,0.00,0.00,USD
2026-02-01,2026-02-28,Addictive Burger Bar,1580519,740074,NULL,42.93,1,1,42.93,11.08,6.99,42.93,0.00,0.00,USD
2026-02-01,2026-02-28,Addictive Burger Bar,37565941,740074,37565941,80.24,3,3,26.75,14.05,11.98,64.86,0.00,0.00,USD
2026-02-01,2026-02-28,Addictive Burger Bar (1428 Polk St),31577141,740074,31577141,197.36,5,4,39.47,49.31,35.55,197.36,3.00,48.46,USD
2026-02-01,2026-02-28,Addictive Burger Bar (689 Broadway),24854827,740074,24854827,178.29,8,8,22.29,45.29,33.26,145.44,3.00,13.28,USD
2026-02-01,2026-02-28,Addictive Fried Chicken,34250943,486741,34250943,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,NULL
2026-02-01,2026-02-28,Addictive Fried Chicken,1183154,486741,NULL,68.38,2,2,34.19,17.82,5.98,68.38,0.00,0.00,USD
2026-02-01,2026-02-28,Addictive Fried Chicken (3rd St),23065118,486741,23065118,133.92,5,5,26.78,34.40,23.22,118.54,9.00,70.11,USD
2026-02-01,2026-02-28,Alberto's Hero Sandwich Spot,1827403,824197,NULL,134.17,5,5,26.83,33.37,25.93,116.58,6.00,66.43,USD
2026-02-01,2026-02-28,Alberto's Hero Sandwich Spot  (840 Fulton St),25130119,824197,25130119,42.15,3,3,14.05,10.89,7.86,31.96,0.00,0.00,USD
2026-02-01,2026-02-28,Alberto's Hero Sandwich Spot (1201 Randall Avenue),23692696,824197,23692696,53.13,4,4,13.28,13.92,9.69,44.74,3.00,13.98,USD
2026-02-01,2026-02-28,Aldo's Wraps Spot,35493471,879127,35493471,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,NULL
2026-02-01,2026-02-28,Aldo's Wraps Spot,37994093,879127,37994093,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,NULL
2026-02-01,2026-02-28,Aldo's Wraps Spot,34348845,879127,34348845,79.65,3,3,26.55,12.91,18.05,79.65,0.00,0.00,USD
2026-02-01,2026-02-28,Aldo's Wraps Spot,36587367,879127,36587367,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,NULL
2026-02-01,2026-02-28,Aldo's Wraps Spot (1741 1st Avenue),23906937,879127,23906937,39.26,2,2,19.63,9.71,8.88,39.26,0.00,0.00,USD
2026-02-01,2026-02-28,Aldo's Wraps Spot (589 1st Ave),2077780,879127,NULL,42.36,1,1,42.36,10.61,7.99,42.36,3.00,42.36,USD
2026-02-01,2026-02-28,Aldo's Wraps Spot (689 Broadway),24770468,879127,24770468,41.97,2,2,20.99,10.28,9.68,41.97,0.00,0.00,USD
2026-02-01,2026-02-28,Aldo's Wraps Spot (93 Avenue A),36237043,879127,36237043,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,NULL
2026-02-01,2026-02-28,Ali's Gyro Lab,1581162,327334,NULL,45.13,2,2,22.57,10.83,9.02,45.13,0.00,0.00,USD
2026-02-01,2026-02-28,Ali's Mediterranean Sandwiches,39898869,11233022,39898869,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,NULL
2026-02-01,2026-02-28,Ali's Mediterranean Sandwiches (114 East Main Street),25294190,11233022,25294190,787.02,35,35,22.49,196.62,166.40,787.02,81.79,334.95,USD
